CATEGORY;UNIT UPC;CASE UPC;DESCRIPTION;UNITS PER CASE;X;X;SELL PRICE PER UNIT;SELL PRICE PER CASE;No. OF CASES IN STOCK;NO. OF CASES ORDERED;SUBTOTAL;
ACNE AIDS ;724742007652;72474200765;ALBA ACNE CLEAN TOWELETTE 30 CT;6;1;6;$3,24;$19,44;92;;$0,00;
ACNE AIDS ;724742007614;72474200761;ALBA ACNE FACE/BDY WASH 8 OZ   ;6;1;6;$4,14;$24,84;170;;$0,00;
ACNE AIDS ;724742007638;72474200763;ALBA DEEP CLEAN ACNE WASH 6 OZ ;6;1;6;$4,27;$25,62;255;;$0,00;
ACNE AIDS ;724742007607;72474200760;ALBA PORE ACNE WASH 6 OZ       ;6;1;6;$4,09;$24,54;128;;$0,00;
ACNE AIDS ;654749453872;65474945387;AVALON BALANCING TONER 8.5 OZ  ;6;1;6;$3,89;$23,34;121;;$0,00;
ACNE AIDS ;724742003623;72474200362;AVALON HONEY MANGO GEL 12OZ    ;12;1;12;$3,20;$38,40;68;;$0,00;
ACNE AIDS ;19100207424;1910020742;BIORE CHARCOAL SCRUB BAR 3.77OZ;12;4;3;$4,41;$52,92;72;;$0,00;
ACNE AIDS ;839977008012;83997700801;CLEARASIL .65OZ ADULT CARE CRM ;24;4;6;$3,16;$75,84;244;;$0,00;
ACNE AIDS ;839977008050;83997700805;CLEARASIL 1 OZ VANISHING TUBE  ;24;4;6;$4,16;$99,84;93;;$0,00;
ACNE AIDS ;39977005343;83997700534;CLEARASIL 6.5OZ HYDRA O/F WASH ;12;2;6;$3,80;$45,60;197;;$0,00;
ACNE AIDS ;839977005363;83997700536;CLEARASIL PORE CLNR PADS 90CT  ;6;1;6;$4,29;$25,74;452;;$0,00;
ACNE AIDS ;839977009231;83997785617;CLEARASIL ULT ACNE CLR SCRB 5OZ;6;2;3;$5,38;$32,28;348;;$0,00;
ACNE AIDS ;839977009200;83997784889;CLEARASIL ULT D/P CLN PADS 90'S;6;1;6;$5,44;$32,64;557;;$0,00;
ACNE AIDS ;839977009095;83997700909;CLEARASIL ULT VANISH CREAM 1 OZ;24;4;6;$6,44;$154,56;73;;$0,00;
ACNE AIDS ;839977005073;83997784888;CLEARASIL ULT WSH/MASK 6.78 OZ ;6;1;6;$5,46;$32,76;290;;$0,00;
ACNE AIDS ;839977009224;83997700922;CLEARASIL ULTRA FACE WASH 6.78Z;12;3;4;$5,36;$64,32;310;;$0,00;
ACNE AIDS ;381370032892;38137003289;CLN & CLR ACNE CLEANSER 5 OZ.  ;24;4;6;$5,81;$139,44;6;;$0,00;
ACNE AIDS ;381370019367;38137102513;CLN & CLR DEEP ACT EXFO SCR 5OZ;24;8;3;$4,87;$116,88;15;;$0,00;
ACNE AIDS ;381370033424;38137002367;CLN & CLR DLY PORE CLNSER 5.5OZ;24;8;3;$4,42;$106,08;7;;$0,00;
ACNE AIDS ;381371157648;38137115764;CLN & CLR NT RLX DP CLN FACE 8Z;24;4;6;$4,71;$113,04;15;;$0,00;
ACNE AIDS ;381370033875;38137003387;CLN & CLR SENS FACIAL CLNR 8 OZ;24;4;6;$3,58;$85,92;2;;$0,00;
ACNE AIDS ;70501017104;7050101710;NEUT #171 OIL-FR ACNE WASH 6OZ ;24;4;6;$5,85;$140,40;45;;$0,00;
ACNE AIDS ;70501020036;7050102003;NEUT #2003 4.2Z RAZ/DEF D/SCRUB;12;4;3;$3,68;$44,16;165;;$0,00;
ACNE AIDS ;70501020081;7050102008;NEUT #2008 MEN 2.5 RZR DFN LOT ;12;4;3;$3,80;$45,60;217;;$0,00;
ACNE AIDS ;70501020135;7050102013;NEUT #2013 MEN MD LOTION  SPF20;12;4;3;$4,42;$53,04;109;;$0,00;
ACNE AIDS ;70501027004;7050102700;NEUT #270 ALCOHOL-FR TONER 8.5 ;12;4;3;$5,07;$60,84;130;;$0,00;
ACNE AIDS ;70501050354;7050105035;NEUT #5035 DP CLN GNT SCRB 4.2 ;12;4;3;$4,43;$53,16;30;;$0,00;
ACNE AIDS ;70501053652;7050105365;NEUT #5365 PINK GRPFRT CLNS 6.0;12;4;3;$6,00;$72,00;63;;$0,00;
ACNE AIDS ;87300560090;8730056009;NOXZEMA  2OZ DEEP CLEANS CREAM ;24;1;24;$1,03;$24,72;291;;$0,00;
ACNE AIDS ;87300560120;8730056012;NOXZEMA  8OZ DEEP CLEANS CREAM ;6;1;6;$2,70;$16,20;1137;;$0,00;
ACNE AIDS ;87300560106;8730056010;NOXZEMA 12OZ DEEP CLEANS CREAM ;6;1;6;$2,55;$15,30;1209;;$0,00;
ACNE AIDS ;87300560113;8730056011;NOXZEMA 12OZ DP CLNS PLS MOIST ;6;1;6;$2,81;$16,86;896;;$0,00;
ACNE AIDS ;87300560083;8730056117;NOXZEMA 6OZ ULT. CLEAR CLEANSER;6;1;6;$2,74;$16,44;570;;$0,00;
ACNE AIDS ;310742027020;31074192702;OXY .65OZ MAX CLR SPOT TRTMNT  ;24;8;3;$4,38;$105,12;156;;$0,00;
ACNE AIDS ;827755030515;82775503051;SEA BREEZE ORIGINAL 10 OZ CS/6 ;6;2;3;$3,32;$19,92;595;;$0,00;
ACNE AIDS ;827755030522;82775503052;SEA BREEZE SENS SKIN 10 OZ (CS6;6;2;3;$3,36;$20,16;418;;$0,00;
ADULT INCONTINENCE;36000324143;3600032414;POISE PANTY FRESHENERS 24CT  Q?;8;1;8;$0,81;$6,48;117;;$0,00;
ANTACIDS  ;74300081502;7430008150;BENGAY PATCH ULT STNGT REG 5CT ;36;6;6;$5,95;$214,20;68;;$0,00;
ANTACIDS  ;300430117188;30043011718;GAS-X X-S CHERRY CREME 18'S    ;24;4;6;$4,54;$108,96;8;;$0,00;
ANTACIDS  ;300430017181;30043001718;GAS-X X-S PEPPERMINT TABS 18'S ;24;4;6;$4,49;$107,76;81;;$0,00;
ANTACIDS  ;716837855088;71683785508;PEPCID AC MAX TABS 8 CT        ;36;6;6;$4,76;$171,36;52;;$0,00;
ANTACIDS  ;716837855507;71683785549;PEPCID MAX-STRENGTH TABS 50 CT ;24;4;6;$16,25;$390,00;109;;$0,00;
ANTACIDS  ;301490039304;30149003900;PEPTO BISMOL  4 OZ MAX STRENGTH;12;1;12;$2,54;$30,48;529;;$0,00;
ANTACIDS  ;301490039045;30149010000;PEPTO BISMOL  4 OZ.            ;12;1;12;$2,18;$26,16;813;;$0,00;
ANTACIDS  ;301490039083;30149009910;PEPTO BISMOL  8 OZ             ;6;1;6;$2,98;$17,88;33;;$0,00;
ANTACIDS  ;301490039564;30149003956;PEPTO BISMOL  8 OZ CHERRY LIQ  ;12;1;12;$2,90;$34,80;529;;$0,00;
ANTACIDS  ;301490039663;30149003966;PEPTO BISMOL 24CT CHEW-CHILD   ;24;4;6;$3,97;$95,28;211;;$0,00;
ANTACIDS  ;301490039786;30149003978;PEPTO BISMOL 30 CT TAB CHERRY  ;24;4;6;$3,11;$74,64;162;;$0,00;
ANTACIDS  ;301490039779;30149003977;PEPTO BISMOL 30 CT TAB ORIG    ;24;4;6;$3,33;$79,92;446;;$0,00;
ANTACIDS  ;37000359050;3700035905;PRILOSEC 14 CT                 ;24;4;6;$9,07;$217,68;258;;$0,00;
ANTACIDS  ;37000808367;3700080836;PRILOSEC 14CT WILDBERRY TABS   ;24;4;6;$8,78;$210,72;82;;$0,00;
ANTACIDS  ;37000359067;3700035906;PRILOSEC 28 CT                 ;24;4;6;$14,76;$354,24;49;;$0,00;
ANTACIDS  ;37000359074;3700035907;PRILOSEC 42 CT                 ;24;8;3;$21,37;$512,88;56;;$0,00;
ANTACIDS  ;307667388961;30766738896;TUMS  96'S X-S ASST. BERRIES   ;24;4;6;$4,23;$101,52;1;;$0,00;
ANTACIDS  ;681421031035;68142103103;ZANTAC 150 MAX STRENGTH 24 CT  ;24;4;6;$8,29;$198,96;129;;$0,00;
ANTACIDS  ;681421030038;68142103003;ZANTAC 75  10'S                ;24;4;6;$4,23;$101,52;104;;$0,00;
ANTACIDS  ;681421030069;68142103006;ZANTAC 75 TABS 60 CT           ;24;6;4;$15,50;$372,00;12;;$0,00;
AUTOMOTIVE;684917100673;68491710067;AMP BLUETOOTH HEADSET          ;36;6;6;$14,31;$515,16;3;;$0,00;
AUTOMOTIVE;70612250247;7061225024;ARMOR ALL CAR WASH CONCNTRT 24Z;6;1;6;$2,04;$12,24;852;;$0,00;
AUTOMOTIVE;70612108630;7061210863;ARMOR ALL CLEANING WIPES 25CT  ;6;1;6;$2,67;$16,02;4009;;$0,00;
AUTOMOTIVE;70612108654;7061210865;ARMOR ALL GLASS WIPES 25 CT    ;6;1;6;$2,58;$15,48;1149;;$0,00;
AUTOMOTIVE;70612108814;7061210881;ARMOR ALL LEATHER WIPES 20 CT  ;6;1;6;$2,62;$15,72;1149;;$0,00;
AUTOMOTIVE;70612108319;7061210831;ARMOR ALL PROT. WIPES 25CT ORNG;6;1;6;$2,68;$16,08;1043;;$0,00;
AUTOMOTIVE;70612108616;7061210861;ARMOR ALL PROT. WIPES ORIG 25CT;6;1;6;$2,64;$15,84;3752;;$0,00;
AUTOMOTIVE;70612100108;7061211010;ARMOR ALL PROTECTANT 10 OZ     ;12;1;12;$2,10;$25,20;2041;;$0,00;
AUTOMOTIVE;70612101600;7061210160;ARMOR ALL PROTECTANT 16OZ      ;12;1;12;$3,51;$42,12;486;;$0,00;
AUTOMOTIVE;70612100405;7061210040;ARMOR ALL PROTECTANT 4 OZ      ;24;1;24;$1,14;$27,36;688;;$0,00;
AUTOMOTIVE;70612403209;7061240320;ARMOR ALL TIRE FOAM 20 OZ      ;12;1;12;$2,77;$33,24;603;;$0,00;
AUTOMOTIVE;70612780041;7061278004;ARMOR ALL XTRM TIRE SHNE 22 OZ ;6;1;6;$3,21;$19,26;65;;$0,00;
AUTOMOTIVE;75847009769;7584700976;AUTO EXP FRS 3-D CHERRY 12/4PKS;48;12;4;$1,36;$65,28;10;;$0,00;
